"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 22, 2019","310.77","294.79","314.11","292.47","351.76K","5.48%"
"Jun 21, 2019","294.63","271.32","295.98","271.32","311.61K","8.59%"
"Jun 20, 2019","271.32","268.16","273.48","265.81","204.87K","1.17%"
"Jun 19, 2019","268.19","264.73","269.50","263.75","95.61K","1.31%"
"Jun 18, 2019","264.72","273.05","273.49","261.99","86.05K","-3.03%"
"Jun 17, 2019","273.00","267.75","274.52","266.77","83.86K","1.93%"
"Jun 16, 2019","267.83","267.83","276.72","263.53","73.06K","0.01%"
"Jun 15, 2019","267.79","262.54","271.78","260.73","66.32K","2.08%"
"Jun 14, 2019","262.33","254.80","264.27","252.11","84.08K","2.96%"
"Jun 13, 2019","254.80","260.45","262.00","253.88","37.27K","-2.35%"
"Jun 12, 2019","260.94","244.28","260.94","242.69","56.28K","6.82%"
"Jun 11, 2019","244.28","245.93","247.52","236.95","31.24K","-0.67%"
"Jun 10, 2019","245.93","231.50","248.26","227.26","7.58K","6.23%"
"Jun 09, 2019","231.51","243.33","244.45","226.79","9.93K","-4.86%"
"Jun 08, 2019","243.34","248.86","250.42","240.98","7.64K","-2.23%"
"Jun 07, 2019","248.89","249.52","253.12","244.13","13.98K","-0.25%"
"Jun 06, 2019","249.52","245.80","250.08","236.27","17.32K","1.50%"
"Jun 05, 2019","245.82","241.42","248.56","237.65","32.16K","1.70%"
"Jun 04, 2019","241.72","251.75","251.75","234.84","29.80K","-3.98%"
"Jun 03, 2019","251.75","268.89","269.98","248.17","167.51K","-6.38%"
"Jun 02, 2019","268.89","264.26","273.00","263.45","58.50K","1.71%"
"Jun 01, 2019","264.36","267.90","275.60","260.94","57.56K","-1.36%"
"May 31, 2019","268.01","254.51","268.71","245.88","112.62K","5.26%"
"May 30, 2019","254.63","268.89","287.97","241.14","79.14K","-5.29%"
"May 29, 2019","268.86","271.30","274.08","260.53","64.53K","-0.90%"
"May 28, 2019","271.30","270.82","275.79","265.10","70.42K","0.16%"
"May 27, 2019","270.88","264.31","279.64","262.65","100.14K","2.45%"
"May 26, 2019","264.40","250.10","268.99","245.40","84.34K","5.69%"
"May 25, 2019","250.16","248.63","256.68","247.00","74.50K","0.62%"
"May 24, 2019","248.63","244.47","253.19","236.20","160.35K","1.69%"
"May 23, 2019","244.49","245.93","252.00","231.49","2.14M","-0.58%"
"May 22, 2019","245.93","253.60","259.96","241.76","162.07K","-3.04%"
"May 21, 2019","253.63","246.24","267.00","246.24","1.69K","3.00%"
